nombre,codigo_chilemat,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"GOLILLA PLANA CORRIENTE 5/16"" (200 UNID.)",PGCF-200,,3927.5074400000003,,,caja,caja,1.0,0,General,Otros,,,,
"GOLILLA PRESION TN 1/2"" (100 UNIDADES)",PGDA-100,,4281.47768,,,ciento,ciento,1.0,0,General,Otros,,,,
"GOLILLA PRESION TN 1/4"" (100 UNIDADES)",PGDB-100,,821.15152,,,ciento,ciento,1.0,0,General,Otros,,,,
"GOLILLA PRESION TN 3/8"" (100 UNIDADES)",PGDE-100,,1961.79592,,,ciento,ciento,1.0,0,General,Otros,,,,
"GOLILLA PRESION TN 5/16"" (100 UNIDADES)",PGDF-100,,1368.06044,,,ciento,ciento,1.0,0,General,Otros,,,,
"HILO CORRIDO G2 UNC 3/8"" 1 UN",PHAF-001,,878.6405599999999,,,metro,metro,1.0,0,General,Otros,,,,
"HILO CORRIDO G2 UNC ZN 1/2"" 1 UN",PHAL-001,,2078.11936,,,metro,metro,1.0,0,General,Otros,,,,
"HILO CORRIDO G2 UNC ZN 1/4"" 1 UN",PHAM-001,,524.52976,,,metro,metro,1.0,0,General,Otros,,,,
"HILO CORRIDO G2 UNC ZN 3/4"" 1 UN",PHAO-001,,5953.84048,,,metro,metro,1.0,0,General,Otros,,,,
"HILO CORRIDO G2 UNC ZN 3/8"" 1 UN",PHAP-001,,1007.68468,,,metro,metro,1.0,0,General,Otros,,,,
"HILO CORRIDO G2 UNC ZN 5/16"" 1 UN",PHAQ-001,,681.79632,,,metro,metro,1.0,0,General,Otros,,,,
"PILAR 15 X 15 X 8.0 3.0MTS 5,86 KG (PAQUETE DE 25 UNIDADES)",PI151530A,,8787.008,,,unid,unid,1.0,0,General,Otros,,,,
"PICAPORTE JUMBO 10""",PIA001,,8606.10728,,,un,un,1.0,0,General,Otros,,,,
DESOXIDANTE 1 LT,PIED003,,2196.752,,,botella,botella,1.0,0,General,Otros,,,,
"CORDEL NYLON 6.6 TRENZADO 4,0 MM. BLANCO CERTIFICADO",PINMB00040,,96.384,,,metro,metro,1.0,0,General,Otros,,,,
"CORDEL NYLON 6.6 TRENZADO 6,0 MM. BICOLOR CERTIFICADO",PINMC00060,,150.6,,,metro,metro,1.0,0,General,Otros,,,,
"CORDEL NYLON 6.6 TRENZADO 8,0 MM. BICOLOR CERTIFICADO",PINMC00080,,258.028,,,metro,metro,1.0,0,General,Otros,,,,
DECANTADOR POTE 1 KG,PIS005,,1726.88,,,pote,pote,1.0,0,General,Otros,,,,
CLORO GRANULADO 1 KILO / PARA PISCINAS,PISC002,,3483.88,,,pote,pote,1.0,0,General,Otros,,,,
BAJA PH 1 KG,PISC005,,2084.304,,,pote,pote,1.0,0,General,Otros,,,,
ALGICIDA 5 LITROS,PISC008,,4138.488,,,bidon,bidon,1.0,0,General,Otros,,,,
PLOMADA 400G,PLO400,,3380.468,,,unidad,unidad,1.0,0,General,Otros,,,,
GORRO MARCA TOTAL,PMCA04,,552.2,,,unidad,unidad,1.0,0,General,Otros,,,,
"POLERON MICROPOLAR FERRETERO CON APLICACION, TALLA L",PMPOLAR-L,,14751.772,,,unidad,unidad,1.0,0,General,Otros,,,,
